ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
PIH,2862.0,36.0,453,6.317880794701987,7.9470198675496695,,,
PIR,1676.0,14.0,168,9.976190476190476,8.333333333333332,,,
PIT,247426.0,3075.0,20410,12.122782949534542,15.066144047035767,,,
PLN,13096.0,81.0,388,33.75257731958763,20.876288659793815,,,
PNS,61216.0,714.0,4800,12.753333333333334,14.875,,,
PPG,444.0,10.0,45,9.866666666666667,22.22222222222222,,,
PRC,2517.0,36.0,302,8.334437086092715,11.920529801324504,,,
PSC,10715.0,108.0,780,13.737179487179487,13.846153846153847,,,
PSE,5116.0,70.0,318,16.08805031446541,22.0125786163522,,,
PSG,3260.0,38.0,302,10.794701986754967,12.582781456953644,,,
PSM,2732.0,42.0,230,11.878260869565217,18.26086956521739,,,
PSP,103775.0,1228.0,6602,15.718721599515298,18.600424113904875,,,
PUB,3267.0,43.0,388,8.420103092783505,11.082474226804123,,,
PVD,99187.0,1181.0,7224,13.730204872646732,16.34828349944629,,,
PVU,4341.0,66.0,272,15.959558823529411,24.264705882352942,,,
PWM,52802.0,611.0,3824,13.80805439330544,15.978033472803347,,,
RAP,36343.0,270.0,1494,24.325970548862117,18.072289156626507,,,
RDD,11583.0,98.0,535,21.650467289719625,18.317757009345794,,,
RDM,38253.0,281.0,1441,26.54614850798057,19.50034698126301,,,
RDU,378112.0,4696.0,25270,14.962880886426593,18.583300356153543,,,
RFD,4515.0,56.0,313,14.424920127795527,17.89137380191693,,,
RHI,6895.0,48.0,302,22.83112582781457,15.894039735099339,,,
RIC,141328.0,1633.0,10199,13.85704480831454,16.01137366408471,,,
RKS,2431.0,30.0,302,8.049668874172186,9.933774834437086,,,
RNO,103633.0,1239.0,7884,13.144723490613902,15.71537290715373,,,
ROA,16460.0,190.0,1102,14.936479128856623,17.24137931034483,,,
ROC,89488.0,1043.0,6018,14.870056497175142,17.331339315387172,,,
ROW,8229.0,72.0,581,14.163511187607574,12.392426850258175,,,
RST,31506.0,281.0,1500,21.004,18.73333333333333,,,
